Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-05-01 08:00:55,464][checkpoint][ERROR] - Could not find valid model file /home/iaziz6/Imo_Training/Training/checkpoints_physics_ns_only/UNet.0.0.mdlus, skipping load
[2026-05-01 08:00:55,465][checkpoint][WARNING] - Could not find valid checkpoint file, skipping load
[2026-05-01 08:00:55,465][main][INFO] - Using NS-only physics-informed training with train_num_samples=100, val_num_samples=6, max_epochs=16, log_every_steps=1, val_every_steps=100, save_every=2, checkpoint_dir=/home/iaziz6/Imo_Training/Training/checkpoints_physics_ns_only.
Epoch 1/16 | Step 1/100 | Global 1 | Total 2.188236 | Data 1.894961 | NS 293.275024 | LR 1.00e-03
Epoch 1/16 | Step 2/100 | Global 2 | Total 1.230384 | Data 1.171096 | NS 59.288353 | LR 1.00e-03
Epoch 1/16 | Step 3/100 | Global 3 | Total 1.301287 | Data 1.279732 | NS 21.554754 | LR 9.99e-04
Epoch 1/16 | Step 4/100 | Global 4 | Total 0.679014 | Data 0.655863 | NS 23.151371 | LR 9.99e-04
Epoch 1/16 | Step 5/100 | Global 5 | Total 0.877551 | Data 0.845321 | NS 32.230686 | LR 9.99e-04
Epoch 1/16 | Step 6/100 | Global 6 | Total 1.009816 | Data 0.981869 | NS 27.947369 | LR 9.99e-04
Epoch 1/16 | Step 7/100 | Global 7 | Total 0.927925 | Data 0.906089 | NS 21.836132 | LR 9.98e-04
Epoch 1/16 | Step 8/100 | Global 8 | Total 0.766449 | Data 0.745963 | NS 20.485273 | LR 9.98e-04
Epoch 1/16 | Step 9/100 | Global 9 | Total 0.890890 | Data 0.877339 | NS 13.551391 | LR 9.98e-04
Epoch 1/16 | Step 10/100 | Global 10 | Total 0.724030 | Data 0.713661 | NS 10.368353 | LR 9.98e-04
Epoch 1/16 | Step 11/100 | Global 11 | Total 0.579546 | Data 0.570422 | NS 9.124693 | LR 9.97e-04
Epoch 1/16 | Step 12/100 | Global 12 | Total 0.704166 | Data 0.697673 | NS 6.493366 | LR 9.97e-04
Epoch 1/16 | Step 13/100 | Global 13 | Total 0.500603 | Data 0.492335 | NS 8.267717 | LR 9.97e-04
Epoch 1/16 | Step 14/100 | Global 14 | Total 0.844584 | Data 0.833832 | NS 10.751843 | LR 9.97e-04
Epoch 1/16 | Step 15/100 | Global 15 | Total 0.626929 | Data 0.615046 | NS 11.883071 | LR 9.96e-04
Epoch 1/16 | Step 16/100 | Global 16 | Total 0.465191 | Data 0.449549 | NS 15.642308 | LR 9.96e-04
Epoch 1/16 | Step 17/100 | Global 17 | Total 0.617355 | Data 0.599316 | NS 18.038240 | LR 9.96e-04
Epoch 1/16 | Step 18/100 | Global 18 | Total 0.487629 | Data 0.473589 | NS 14.040043 | LR 9.96e-04
Epoch 1/16 | Step 19/100 | Global 19 | Total 0.744829 | Data 0.731774 | NS 13.055198 | LR 9.95e-04
Epoch 1/16 | Step 20/100 | Global 20 | Total 0.580695 | Data 0.567922 | NS 12.773476 | LR 9.95e-04
Epoch 1/16 | Step 21/100 | Global 21 | Total 0.608908 | Data 0.596728 | NS 12.180465 | LR 9.95e-04
Epoch 1/16 | Step 22/100 | Global 22 | Total 0.475987 | Data 0.465940 | NS 10.046543 | LR 9.95e-04
Epoch 1/16 | Step 23/100 | Global 23 | Total 0.466562 | Data 0.456980 | NS 9.581486 | LR 9.94e-04
Epoch 1/16 | Step 24/100 | Global 24 | Total 0.654969 | Data 0.646127 | NS 8.841133 | LR 9.94e-04
Epoch 1/16 | Step 25/100 | Global 25 | Total 0.497199 | Data 0.487795 | NS 9.403646 | LR 9.94e-04
Epoch 1/16 | Step 26/100 | Global 26 | Total 0.608441 | Data 0.597916 | NS 10.524976 | LR 9.94e-04
Epoch 1/16 | Step 27/100 | Global 27 | Total 0.429408 | Data 0.418481 | NS 10.927037 | LR 9.93e-04
Epoch 1/16 | Step 28/100 | Global 28 | Total 0.402585 | Data 0.392979 | NS 9.605838 | LR 9.93e-04
Epoch 1/16 | Step 29/100 | Global 29 | Total 0.599429 | Data 0.591524 | NS 7.904937 | LR 9.93e-04
Epoch 1/16 | Step 30/100 | Global 30 | Total 0.745438 | Data 0.736373 | NS 9.064717 | LR 9.93e-04
Epoch 1/16 | Step 31/100 | Global 31 | Total 0.352498 | Data 0.342168 | NS 10.329481 | LR 9.92e-04
Epoch 1/16 | Step 32/100 | Global 32 | Total 0.547752 | Data 0.535962 | NS 11.790562 | LR 9.92e-04
Epoch 1/16 | Step 33/100 | Global 33 | Total 0.360195 | Data 0.346699 | NS 13.495427 | LR 9.92e-04
[2026-05-01 08:08:06,271][train][INFO] - [100.00%] Mini-Batch Losses: Mini-batch total loss =  5.100e-01
Epoch 1/16 | Step 34/100 | Global 34 | Total 0.509994 | Data 0.496002 | NS 13.992195 | LR 9.92e-04
