Epoch 14/16 | Step 67/100 | Global 1367 | Total 0.160280 | Data 0.154049 | NS 6.230144 | LR 7.10e-04
Epoch 14/16 | Step 68/100 | Global 1368 | Total 0.146001 | Data 0.141003 | NS 4.997994 | LR 7.10e-04
Epoch 14/16 | Step 69/100 | Global 1369 | Total 0.172555 | Data 0.167787 | NS 4.767623 | LR 7.10e-04
Epoch 14/16 | Step 70/100 | Global 1370 | Total 0.333357 | Data 0.328070 | NS 5.286223 | LR 7.10e-04
Epoch 14/16 | Step 71/100 | Global 1371 | Total 0.178258 | Data 0.174573 | NS 3.685745 | LR 7.10e-04
Epoch 14/16 | Step 72/100 | Global 1372 | Total 0.136256 | Data 0.132761 | NS 3.494796 | LR 7.10e-04
Epoch 14/16 | Step 73/100 | Global 1373 | Total 0.172111 | Data 0.169079 | NS 3.031983 | LR 7.09e-04
Epoch 14/16 | Step 74/100 | Global 1374 | Total 0.215469 | Data 0.212693 | NS 2.775572 | LR 7.09e-04
Epoch 14/16 | Step 75/100 | Global 1375 | Total 0.120884 | Data 0.118173 | NS 2.710662 | LR 7.09e-04
Epoch 14/16 | Step 76/100 | Global 1376 | Total 0.136136 | Data 0.131900 | NS 4.235869 | LR 7.09e-04
Epoch 14/16 | Step 77/100 | Global 1377 | Total 0.149945 | Data 0.147308 | NS 2.636425 | LR 7.09e-04
Epoch 14/16 | Step 78/100 | Global 1378 | Total 0.489543 | Data 0.486689 | NS 2.853686 | LR 7.09e-04
Epoch 14/16 | Step 79/100 | Global 1379 | Total 0.146482 | Data 0.142641 | NS 3.841060 | LR 7.08e-04
Epoch 14/16 | Step 80/100 | Global 1380 | Total 0.123063 | Data 0.119090 | NS 3.972988 | LR 7.08e-04
Epoch 14/16 | Step 81/100 | Global 1381 | Total 0.200590 | Data 0.197343 | NS 3.246515 | LR 7.08e-04
Epoch 14/16 | Step 82/100 | Global 1382 | Total 0.189410 | Data 0.186636 | NS 2.773607 | LR 7.08e-04
Epoch 14/16 | Step 83/100 | Global 1383 | Total 0.165590 | Data 0.162591 | NS 2.998234 | LR 7.08e-04
Epoch 14/16 | Step 84/100 | Global 1384 | Total 0.129005 | Data 0.126376 | NS 2.628754 | LR 7.07e-04
Epoch 14/16 | Step 85/100 | Global 1385 | Total 0.139647 | Data 0.137058 | NS 2.589258 | LR 7.07e-04
Epoch 14/16 | Step 86/100 | Global 1386 | Total 0.146053 | Data 0.143552 | NS 2.500630 | LR 7.07e-04
Epoch 14/16 | Step 87/100 | Global 1387 | Total 0.157352 | Data 0.154452 | NS 2.899432 | LR 7.07e-04
Epoch 14/16 | Step 88/100 | Global 1388 | Total 0.138038 | Data 0.135155 | NS 2.883485 | LR 7.07e-04
Epoch 14/16 | Step 89/100 | Global 1389 | Total 0.185051 | Data 0.182101 | NS 2.950056 | LR 7.07e-04
Epoch 14/16 | Step 90/100 | Global 1390 | Total 0.129765 | Data 0.127350 | NS 2.415013 | LR 7.06e-04
Epoch 14/16 | Step 91/100 | Global 1391 | Total 0.127419 | Data 0.123749 | NS 3.670203 | LR 7.06e-04
Epoch 14/16 | Step 92/100 | Global 1392 | Total 0.117234 | Data 0.114807 | NS 2.427063 | LR 7.06e-04
Epoch 14/16 | Step 93/100 | Global 1393 | Total 0.078734 | Data 0.076611 | NS 2.123456 | LR 7.06e-04
Epoch 14/16 | Step 94/100 | Global 1394 | Total 0.110339 | Data 0.107265 | NS 3.073685 | LR 7.06e-04
Epoch 14/16 | Step 95/100 | Global 1395 | Total 0.163410 | Data 0.160274 | NS 3.135206 | LR 7.06e-04
Epoch 14/16 | Step 96/100 | Global 1396 | Total 0.285363 | Data 0.282111 | NS 3.251279 | LR 7.05e-04
Epoch 14/16 | Step 97/100 | Global 1397 | Total 0.063994 | Data 0.061333 | NS 2.661365 | LR 7.05e-04
Epoch 14/16 | Step 98/100 | Global 1398 | Total 0.117282 | Data 0.114243 | NS 3.039461 | LR 7.05e-04
Epoch 14/16 | Step 99/100 | Global 1399 | Total 0.156474 | Data 0.152418 | NS 4.055379 | LR 7.05e-04
[2026-05-01 12:50:57,312][train][INFO] - [300.00%] Mini-Batch Losses: Mini-batch NS phy loss =  3.120e+00
Epoch 14/16 | Step 100/100 | Global 1400 | Total 0.063005 | Data 0.059884 | NS 3.120433 | LR 7.05e-04
[2026-05-01 12:52:08,134][train][INFO] - Epoch 14 Metrics: Learning Rate =  7.047e-04, Mini-batch total loss =  5.596e-02, Mini-batch data loss =  5.490e-02, Mini-batch NS phy loss =  1.058e+00
[2026-05-01 12:52:08,134][train][INFO] - Epoch Execution Time:  1.251e+03s, Time/Iter:  4.170e+03ms
[2026-05-01 12:52:08,274][checkpoint][INFO] - Saved model state dictionary: /home/iaziz6/Imo_Training/Training/checkpoints_physics_ns_only/UNet.0.14.mdlus
[2026-05-01 12:52:08,375][checkpoint][INFO] - Saved training checkpoint: /home/iaziz6/Imo_Training/Training/checkpoints_physics_ns_only/checkpoint.0.14.pt
Epoch 15/16 | Step 1/100 | Global 1401 | Total 0.358880 | Data 0.355387 | NS 3.492193 | LR 7.04e-04
Epoch 15/16 | Step 2/100 | Global 1402 | Total 0.112143 | Data 0.108652 | NS 3.491503 | LR 7.04e-04
Epoch 15/16 | Step 3/100 | Global 1403 | Total 0.060614 | Data 0.057735 | NS 2.878885 | LR 7.04e-04
Epoch 15/16 | Step 4/100 | Global 1404 | Total 0.061764 | Data 0.058610 | NS 3.153324 | LR 7.04e-04
Epoch 15/16 | Step 5/100 | Global 1405 | Total 0.369122 | Data 0.366601 | NS 2.520763 | LR 7.04e-04
Epoch 15/16 | Step 6/100 | Global 1406 | Total 0.189506 | Data 0.186903 | NS 2.602073 | LR 7.04e-04
Epoch 15/16 | Step 7/100 | Global 1407 | Total 0.176046 | Data 0.173080 | NS 2.965614 | LR 7.03e-04
Epoch 15/16 | Step 8/100 | Global 1408 | Total 0.110264 | Data 0.106307 | NS 3.957933 | LR 7.03e-04
Epoch 15/16 | Step 9/100 | Global 1409 | Total 0.138804 | Data 0.133629 | NS 5.175153 | LR 7.03e-04
Epoch 15/16 | Step 10/100 | Global 1410 | Total 0.122407 | Data 0.118665 | NS 3.741854 | LR 7.03e-04
Epoch 15/16 | Step 11/100 | Global 1411 | Total 0.126552 | Data 0.121639 | NS 4.912529 | LR 7.03e-04
Epoch 15/16 | Step 12/100 | Global 1412 | Total 0.156838 | Data 0.152784 | NS 4.054614 | LR 7.03e-04
Epoch 15/16 | Step 13/100 | Global 1413 | Total 0.158467 | Data 0.154409 | NS 4.058029 | LR 7.02e-04
Epoch 15/16 | Step 14/100 | Global 1414 | Total 0.184031 | Data 0.180049 | NS 3.982341 | LR 7.02e-04
Epoch 15/16 | Step 15/100 | Global 1415 | Total 0.196898 | Data 0.192818 | NS 4.080435 | LR 7.02e-04
Epoch 15/16 | Step 16/100 | Global 1416 | Total 0.136281 | Data 0.132000 | NS 4.280981 | LR 7.02e-04
Epoch 15/16 | Step 17/100 | Global 1417 | Total 0.290696 | Data 0.286059 | NS 4.637128 | LR 7.02e-04
Epoch 15/16 | Step 18/100 | Global 1418 | Total 0.176173 | Data 0.172508 | NS 3.665376 | LR 7.01e-04
