Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-05-01 14:01:00,577][checkpoint][WARNING] - Provided checkpoint directory /home/iaziz6/Imo_Training/Training/checkpoints_baseline_unet does not exist, skipping load
[2026-05-01 14:01:00,578][main][INFO] - Using baseline UNet training with train_num_samples=100, val_num_samples=6, max_epochs=16, log_every_steps=1, val_every_steps=100, save_every=2, checkpoint_dir=/home/iaziz6/Imo_Training/Training/checkpoints_baseline_unet.
Epoch 1/16 | Step 1/100 (global 1) | Loss 0.847708 | LR 1.00e-03
Epoch 1/16 | Step 2/100 (global 2) | Loss 0.529554 | LR 1.00e-03
Epoch 1/16 | Step 3/100 (global 3) | Loss 0.672970 | LR 9.99e-04
Epoch 1/16 | Step 4/100 (global 4) | Loss 0.548127 | LR 9.99e-04
Epoch 1/16 | Step 5/100 (global 5) | Loss 0.606133 | LR 9.99e-04
Epoch 1/16 | Step 6/100 (global 6) | Loss 0.573748 | LR 9.99e-04
Epoch 1/16 | Step 7/100 (global 7) | Loss 0.578168 | LR 9.98e-04
Epoch 1/16 | Step 8/100 (global 8) | Loss 0.357581 | LR 9.98e-04
Epoch 1/16 | Step 9/100 (global 9) | Loss 0.501612 | LR 9.98e-04
Epoch 1/16 | Step 10/100 (global 10) | Loss 0.417990 | LR 9.98e-04
Epoch 1/16 | Step 11/100 (global 11) | Loss 0.329651 | LR 9.97e-04
Epoch 1/16 | Step 12/100 (global 12) | Loss 0.444250 | LR 9.97e-04
Epoch 1/16 | Step 13/100 (global 13) | Loss 0.271929 | LR 9.97e-04
Epoch 1/16 | Step 14/100 (global 14) | Loss 0.407140 | LR 9.97e-04
Epoch 1/16 | Step 15/100 (global 15) | Loss 0.417128 | LR 9.96e-04
Epoch 1/16 | Step 16/100 (global 16) | Loss 0.221757 | LR 9.96e-04
Epoch 1/16 | Step 17/100 (global 17) | Loss 0.236956 | LR 9.96e-04
Epoch 1/16 | Step 18/100 (global 18) | Loss 0.256884 | LR 9.96e-04
Epoch 1/16 | Step 19/100 (global 19) | Loss 0.375556 | LR 9.95e-04
Epoch 1/16 | Step 20/100 (global 20) | Loss 0.222794 | LR 9.95e-04
Epoch 1/16 | Step 21/100 (global 21) | Loss 0.297539 | LR 9.95e-04
Epoch 1/16 | Step 22/100 (global 22) | Loss 0.238283 | LR 9.95e-04
Epoch 1/16 | Step 23/100 (global 23) | Loss 0.233884 | LR 9.94e-04
Epoch 1/16 | Step 24/100 (global 24) | Loss 0.352296 | LR 9.94e-04
Epoch 1/16 | Step 25/100 (global 25) | Loss 0.344430 | LR 9.94e-04
Epoch 1/16 | Step 26/100 (global 26) | Loss 0.266135 | LR 9.94e-04
Epoch 1/16 | Step 27/100 (global 27) | Loss 0.234232 | LR 9.93e-04
Epoch 1/16 | Step 28/100 (global 28) | Loss 0.191205 | LR 9.93e-04
Epoch 1/16 | Step 29/100 (global 29) | Loss 0.322092 | LR 9.93e-04
Epoch 1/16 | Step 30/100 (global 30) | Loss 0.380009 | LR 9.93e-04
Epoch 1/16 | Step 31/100 (global 31) | Loss 0.195533 | LR 9.92e-04
Epoch 1/16 | Step 32/100 (global 32) | Loss 0.320954 | LR 9.92e-04
Epoch 1/16 | Step 33/100 (global 33) | Loss 0.201815 | LR 9.92e-04
Epoch 1/16 | Step 34/100 (global 34) | Loss 0.286020 | LR 9.92e-04
Epoch 1/16 | Step 35/100 (global 35) | Loss 0.206170 | LR 9.91e-04
Epoch 1/16 | Step 36/100 (global 36) | Loss 0.215074 | LR 9.91e-04
Epoch 1/16 | Step 37/100 (global 37) | Loss 0.258728 | LR 9.91e-04
Epoch 1/16 | Step 38/100 (global 38) | Loss 0.285462 | LR 9.91e-04
Epoch 1/16 | Step 39/100 (global 39) | Loss 0.307832 | LR 9.90e-04
Epoch 1/16 | Step 40/100 (global 40) | Loss 0.255117 | LR 9.90e-04
Epoch 1/16 | Step 41/100 (global 41) | Loss 0.151101 | LR 9.90e-04
Epoch 1/16 | Step 42/100 (global 42) | Loss 0.229406 | LR 9.90e-04
Epoch 1/16 | Step 43/100 (global 43) | Loss 0.193299 | LR 9.89e-04
Epoch 1/16 | Step 44/100 (global 44) | Loss 0.169763 | LR 9.89e-04
Epoch 1/16 | Step 45/100 (global 45) | Loss 0.193105 | LR 9.89e-04
