Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-05-01 15:51:55,976][checkpoint][WARNING] - Provided checkpoint directory /home/iaziz6/Imo_Training/Training/checkpoints_ensemble_3x3/ensemble_0 does not exist, skipping load
[2026-05-01 15:51:55,976][main][INFO] - Starting ensemble 1/3 with train_num_samples=100, val_num_samples=6, max_epochs=3, log_every_steps=1, val_every_steps=100, save_every=1, checkpoint_dir=/home/iaziz6/Imo_Training/Training/checkpoints_ensemble_3x3/ensemble_0.
Ensemble 1/3 | Epoch 1/3 | Step 1/100 | Global 1 | Loss 0.813737 | LR 1.00e-03
Ensemble 1/3 | Epoch 1/3 | Step 2/100 | Global 2 | Loss 0.591957 | LR 1.00e-03
Ensemble 1/3 | Epoch 1/3 | Step 3/100 | Global 3 | Loss 0.761282 | LR 9.99e-04
Ensemble 1/3 | Epoch 1/3 | Step 4/100 | Global 4 | Loss 0.561051 | LR 9.99e-04
Ensemble 1/3 | Epoch 1/3 | Step 5/100 | Global 5 | Loss 0.628069 | LR 9.99e-04
Ensemble 1/3 | Epoch 1/3 | Step 6/100 | Global 6 | Loss 0.639873 | LR 9.99e-04
Ensemble 1/3 | Epoch 1/3 | Step 7/100 | Global 7 | Loss 0.697318 | LR 9.98e-04
Ensemble 1/3 | Epoch 1/3 | Step 8/100 | Global 8 | Loss 0.430837 | LR 9.98e-04
Ensemble 1/3 | Epoch 1/3 | Step 9/100 | Global 9 | Loss 0.556723 | LR 9.98e-04
Ensemble 1/3 | Epoch 1/3 | Step 10/100 | Global 10 | Loss 0.465216 | LR 9.98e-04
Ensemble 1/3 | Epoch 1/3 | Step 11/100 | Global 11 | Loss 0.366788 | LR 9.97e-04
Ensemble 1/3 | Epoch 1/3 | Step 12/100 | Global 12 | Loss 0.494445 | LR 9.97e-04
Ensemble 1/3 | Epoch 1/3 | Step 13/100 | Global 13 | Loss 0.284885 | LR 9.97e-04
Ensemble 1/3 | Epoch 1/3 | Step 14/100 | Global 14 | Loss 0.369275 | LR 9.97e-04
Ensemble 1/3 | Epoch 1/3 | Step 15/100 | Global 15 | Loss 0.403382 | LR 9.96e-04
