Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-04-30 06:49:04,119][main][INFO] - Using physics-informed training with train_num_samples=100, val_num_samples=6, max_epochs=100, log_every_steps=1, val_every_steps=7.
Epoch 1/100 | Step 1/100 | Global 1 | Total 1.450452 | Data 0.872745 | NS 152.135437 | T 425.571747 | LR 1.00e-03
Epoch 1/100 | Step 2/100 | Global 2 | Total 1.370041 | Data 0.913833 | NS 69.686012 | T 386.522552 | LR 1.00e-03
Epoch 1/100 | Step 3/100 | Global 3 | Total 1.488839 | Data 1.303000 | NS 27.729706 | T 158.109039 | LR 9.99e-04
Epoch 1/100 | Step 4/100 | Global 4 | Total 0.661092 | Data 0.616916 | NS 24.844725 | T 19.330820 | LR 9.99e-04
Epoch 1/100 | Step 5/100 | Global 5 | Total 0.741595 | Data 0.708352 | NS 22.910240 | T 10.332664 | LR 9.99e-04
Epoch 1/100 | Step 6/100 | Global 6 | Total 1.019487 | Data 0.973470 | NS 17.581886 | T 28.434639 | LR 9.99e-04
Epoch 1/100 | Step 7/100 | Global 7 | Total 0.919464 | Data 0.887301 | NS 12.527847 | T 19.635744 | LR 9.98e-04
Epoch 1/100 | Step 8/100 | Global 8 | Total 0.778961 | Data 0.759267 | NS 11.221848 | T 8.472125 | LR 9.98e-04
Epoch 1/100 | Step 9/100 | Global 9 | Total 0.931566 | Data 0.914015 | NS 8.842310 | T 8.708598 | LR 9.98e-04
Epoch 1/100 | Step 10/100 | Global 10 | Total 0.753262 | Data 0.739549 | NS 8.291041 | T 5.422049 | LR 9.98e-04
Epoch 1/100 | Step 11/100 | Global 11 | Total 0.603288 | Data 0.593636 | NS 8.035189 | T 1.617445 | LR 9.97e-04
Epoch 1/100 | Step 12/100 | Global 12 | Total 0.719315 | Data 0.711074 | NS 6.395007 | T 1.846401 | LR 9.97e-04
Epoch 1/100 | Step 13/100 | Global 13 | Total 0.525044 | Data 0.515284 | NS 7.067901 | T 2.691955 | LR 9.97e-04
Epoch 1/100 | Step 14/100 | Global 14 | Total 0.832098 | Data 0.822175 | NS 8.002108 | T 1.920414 | LR 9.97e-04
Epoch 1/100 | Step 15/100 | Global 15 | Total 0.627670 | Data 0.618083 | NS 8.906069 | T 0.680889 | LR 9.96e-04
Epoch 1/100 | Step 16/100 | Global 16 | Total 0.480553 | Data 0.468317 | NS 11.552357 | T 0.683701 | LR 9.96e-04
Epoch 1/100 | Step 17/100 | Global 17 | Total 0.639629 | Data 0.624338 | NS 14.055975 | T 1.234384 | LR 9.96e-04
Epoch 1/100 | Step 18/100 | Global 18 | Total 0.525103 | Data 0.510825 | NS 12.831404 | T 1.446882 | LR 9.96e-04
Epoch 1/100 | Step 19/100 | Global 19 | Total 0.820373 | Data 0.806227 | NS 12.985928 | T 1.159901 | LR 9.95e-04
Epoch 1/100 | Step 20/100 | Global 20 | Total 0.671762 | Data 0.657880 | NS 12.998209 | T 0.883650 | LR 9.95e-04
Epoch 1/100 | Step 21/100 | Global 21 | Total 0.708131 | Data 0.694407 | NS 12.766823 | T 0.957346 | LR 9.95e-04
Epoch 1/100 | Step 22/100 | Global 22 | Total 0.490227 | Data 0.479676 | NS 9.483289 | T 1.067051 | LR 9.95e-04
Epoch 1/100 | Step 23/100 | Global 23 | Total 0.496811 | Data 0.487321 | NS 8.062009 | T 1.428389 | LR 9.94e-04
