Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-04-30 18:57:51,575][checkpoint][INFO] - Loaded model state dictionary /home/iaziz6/Imo_Training/Training/outputs/checkpoints/UNet.0.14.mdlus to device cuda:0
[2026-04-30 18:57:51,735][checkpoint][INFO] - Loaded checkpoint file /home/iaziz6/Imo_Training/Training/outputs/checkpoints/checkpoint.0.14.pt to device cuda:0
[2026-04-30 18:57:51,736][checkpoint][INFO] - Loaded optimizer state dictionary
[2026-04-30 18:57:51,736][checkpoint][INFO] - Loaded scheduler state dictionary
[2026-04-30 18:57:51,736][main][INFO] - Using physics-informed training with train_num_samples=100, val_num_samples=6, max_epochs=16, log_every_steps=10, val_every_steps=100.
Epoch 15/16 | Step 1/100 | Global 1 | Total 0.176535 | Data 0.171311 | NS 2.679193 | T 2.544355 | LR 7.04e-04
Epoch 15/16 | Step 2/100 | Global 2 | Total 0.160820 | Data 0.154509 | NS 2.815438 | T 3.495271 | LR 7.04e-04
Epoch 15/16 | Step 3/100 | Global 3 | Total 0.347817 | Data 0.341818 | NS 2.677166 | T 3.321569 | LR 7.04e-04
Epoch 15/16 | Step 4/100 | Global 4 | Total 0.134069 | Data 0.128280 | NS 2.494280 | T 3.294690 | LR 7.04e-04
Epoch 15/16 | Step 5/100 | Global 5 | Total 0.171175 | Data 0.166717 | NS 2.052906 | T 2.404845 | LR 7.04e-04
Epoch 15/16 | Step 6/100 | Global 6 | Total 0.209536 | Data 0.204386 | NS 2.608357 | T 2.541760 | LR 7.04e-04
Epoch 15/16 | Step 7/100 | Global 7 | Total 0.111380 | Data 0.106620 | NS 2.320421 | T 2.439659 | LR 7.03e-04
Epoch 15/16 | Step 8/100 | Global 8 | Total 0.112372 | Data 0.107752 | NS 2.460994 | T 2.158170 | LR 7.03e-04
Epoch 15/16 | Step 9/100 | Global 9 | Total 0.109419 | Data 0.104934 | NS 2.416741 | T 2.067446 | LR 7.03e-04
Epoch 15/16 | Step 10/100 | Global 10 | Total 0.133926 | Data 0.128888 | NS 2.718909 | T 2.319010 | LR 7.03e-04
Epoch 15/16 | Step 11/100 | Global 11 | Total 0.336876 | Data 0.331757 | NS 2.758978 | T 2.359721 | LR 7.03e-04
Epoch 15/16 | Step 12/100 | Global 12 | Total 0.222692 | Data 0.216092 | NS 3.213535 | T 3.386945 | LR 7.03e-04
Epoch 15/16 | Step 13/100 | Global 13 | Total 0.327292 | Data 0.318786 | NS 3.302422 | T 5.203358 | LR 7.02e-04
Epoch 15/16 | Step 14/100 | Global 14 | Total 0.160581 | Data 0.150248 | NS 3.893107 | T 6.440798 | LR 7.02e-04
Epoch 15/16 | Step 15/100 | Global 15 | Total 0.216773 | Data 0.209814 | NS 2.713702 | T 4.245659 | LR 7.02e-04
