Warp DeprecationWarning: The symbol `warp.context.Device` will soon be removed from the public API. Use `warp.Device` instead.
/home/iaziz6/Imo_Training/Training/physicsnemo_env/lib/python3.10/site-packages/physicsnemo/distributed/manager.py:415: UserWarning: Could not initialize using ENV, SLURM or OPENMPI methods. Assuming this is a single process job
  warn(
[2026-04-30 13:16:36,232][checkpoint][INFO] - Loaded model state dictionary /home/iaziz6/Imo_Training/Training/outputs/checkpoints/UNet.0.8.mdlus to device cuda:0
[2026-04-30 13:16:36,356][checkpoint][INFO] - Loaded checkpoint file /home/iaziz6/Imo_Training/Training/outputs/checkpoints/checkpoint.0.8.pt to device cuda:0
[2026-04-30 13:16:36,357][checkpoint][INFO] - Loaded optimizer state dictionary
[2026-04-30 13:16:36,357][checkpoint][INFO] - Loaded scheduler state dictionary
[2026-04-30 13:16:36,357][main][INFO] - Using physics-informed training with train_num_samples=100, val_num_samples=6, max_epochs=15, log_every_steps=10, val_every_steps=100.
Epoch 9/15 | Step 1/100 | Global 1 | Total 0.182620 | Data 0.176502 | NS 3.882889 | T 2.235455 | LR 8.19e-04
Epoch 9/15 | Step 2/100 | Global 2 | Total 0.180157 | Data 0.174143 | NS 3.997145 | T 2.016706 | LR 8.18e-04
Epoch 9/15 | Step 3/100 | Global 3 | Total 0.400119 | Data 0.394110 | NS 3.948353 | T 2.061043 | LR 8.18e-04
Epoch 9/15 | Step 4/100 | Global 4 | Total 0.130738 | Data 0.124935 | NS 3.406199 | T 2.397317 | LR 8.18e-04
Epoch 9/15 | Step 5/100 | Global 5 | Total 0.177146 | Data 0.171773 | NS 2.794591 | T 2.578557 | LR 8.18e-04
Epoch 9/15 | Step 6/100 | Global 6 | Total 0.245465 | Data 0.239453 | NS 3.599925 | T 2.411836 | LR 8.17e-04
Epoch 9/15 | Step 7/100 | Global 7 | Total 0.135782 | Data 0.130691 | NS 2.867903 | T 2.223041 | LR 8.17e-04
Epoch 9/15 | Step 8/100 | Global 8 | Total 0.127653 | Data 0.122879 | NS 2.795276 | T 1.979058 | LR 8.17e-04
Epoch 9/15 | Step 9/100 | Global 9 | Total 0.123895 | Data 0.119829 | NS 2.383546 | T 1.683075 | LR 8.17e-04
Epoch 9/15 | Step 10/100 | Global 10 | Total 0.139436 | Data 0.134727 | NS 2.688239 | T 2.020423 | LR 8.17e-04
Epoch 9/15 | Step 11/100 | Global 11 | Total 0.355195 | Data 0.349336 | NS 3.241563 | T 2.617081 | LR 8.16e-04
Epoch 9/15 | Step 12/100 | Global 12 | Total 0.234307 | Data 0.226811 | NS 3.696985 | T 3.798748 | LR 8.16e-04
Epoch 9/15 | Step 13/100 | Global 13 | Total 0.341274 | Data 0.332175 | NS 4.186909 | T 4.912407 | LR 8.16e-04
Epoch 9/15 | Step 14/100 | Global 14 | Total 0.169696 | Data 0.158680 | NS 4.406784 | T 6.608496 | LR 8.16e-04
Epoch 9/15 | Step 15/100 | Global 15 | Total 0.219880 | Data 0.211206 | NS 3.344861 | T 5.329484 | LR 8.16e-04
Epoch 9/15 | Step 16/100 | Global 16 | Total 0.278882 | Data 0.270044 | NS 3.666404 | T 5.172174 | LR 8.15e-04
Epoch 9/15 | Step 17/100 | Global 17 | Total 0.146577 | Data 0.138820 | NS 4.073222 | T 3.683350 | LR 8.15e-04
Epoch 9/15 | Step 18/100 | Global 18 | Total 0.168284 | Data 0.162024 | NS 3.808033 | T 2.452584 | LR 8.15e-04
Epoch 9/15 | Step 19/100 | Global 19 | Total 0.159801 | Data 0.153358 | NS 4.313120 | T 2.130300 | LR 8.15e-04
Epoch 9/15 | Step 20/100 | Global 20 | Total 0.130108 | Data 0.122948 | NS 4.735016 | T 2.424877 | LR 8.15e-04
Epoch 9/15 | Step 21/100 | Global 21 | Total 0.124141 | Data 0.112488 | NS 6.447517 | T 5.205527 | LR 8.14e-04
Epoch 9/15 | Step 22/100 | Global 22 | Total 0.194239 | Data 0.185354 | NS 4.714833 | T 4.169981 | LR 8.14e-04
Epoch 9/15 | Step 23/100 | Global 23 | Total 0.135648 | Data 0.127835 | NS 4.146385 | T 3.666154 | LR 8.14e-04
Epoch 9/15 | Step 24/100 | Global 24 | Total 0.185881 | Data 0.177964 | NS 4.394891 | T 3.522641 | LR 8.14e-04
[2026-04-30 13:22:09,796][train][INFO] - [100.00%] Mini-Batch Losses: Mini-batch T phy loss =  3.239e+00
Epoch 9/15 | Step 25/100 | Global 25 | Total 0.247211 | Data 0.240100 | NS 3.871455 | T 3.239458 | LR 8.14e-04
Epoch 9/15 | Step 26/100 | Global 26 | Total 0.181795 | Data 0.174097 | NS 5.044256 | T 2.653652 | LR 8.13e-04
Epoch 9/15 | Step 27/100 | Global 27 | Total 0.174943 | Data 0.168373 | NS 3.787833 | T 2.782381 | LR 8.13e-04
Epoch 9/15 | Step 28/100 | Global 28 | Total 0.139656 | Data 0.134268 | NS 3.063214 | T 2.324127 | LR 8.13e-04
Epoch 9/15 | Step 29/100 | Global 29 | Total 0.160156 | Data 0.154812 | NS 2.961827 | T 2.382375 | LR 8.13e-04
Epoch 9/15 | Step 30/100 | Global 30 | Total 0.284483 | Data 0.278631 | NS 3.195132 | T 2.656575 | LR 8.13e-04
Epoch 9/15 | Step 31/100 | Global 31 | Total 0.182768 | Data 0.177655 | NS 2.401260 | T 2.711691 | LR 8.12e-04
Epoch 9/15 | Step 32/100 | Global 32 | Total 0.147076 | Data 0.142008 | NS 2.345450 | T 2.721940 | LR 8.12e-04
Epoch 9/15 | Step 33/100 | Global 33 | Total 0.138452 | Data 0.133719 | NS 2.104721 | T 2.627733 | LR 8.12e-04
Epoch 9/15 | Step 34/100 | Global 34 | Total 0.094571 | Data 0.089088 | NS 2.565426 | T 2.918021 | LR 8.12e-04
Epoch 9/15 | Step 35/100 | Global 35 | Total 0.125568 | Data 0.120534 | NS 2.672285 | T 2.361750 | LR 8.12e-04
Epoch 9/15 | Step 36/100 | Global 36 | Total 0.193806 | Data 0.188233 | NS 2.797289 | T 2.776266 | LR 8.11e-04
Epoch 9/15 | Step 37/100 | Global 37 | Total 0.182101 | Data 0.176558 | NS 2.618101 | T 2.924697 | LR 8.11e-04
Epoch 9/15 | Step 38/100 | Global 38 | Total 0.247775 | Data 0.242474 | NS 2.811919 | T 2.489105 | LR 8.11e-04
Epoch 9/15 | Step 39/100 | Global 39 | Total 0.139431 | Data 0.133542 | NS 2.720252 | T 3.168441 | LR 8.11e-04
Epoch 9/15 | Step 40/100 | Global 40 | Total 0.300584 | Data 0.294473 | NS 3.119517 | T 2.992297 | LR 8.11e-04
Epoch 9/15 | Step 41/100 | Global 41 | Total 0.102612 | Data 0.096241 | NS 3.085948 | T 3.285617 | LR 8.10e-04
Epoch 9/15 | Step 42/100 | Global 42 | Total 0.231710 | Data 0.224443 | NS 3.103651 | T 4.164150 | LR 8.10e-04
Epoch 9/15 | Step 43/100 | Global 43 | Total 0.127669 | Data 0.121427 | NS 2.883832 | T 3.358064 | LR 8.10e-04
Epoch 9/15 | Step 44/100 | Global 44 | Total 0.193469 | Data 0.187208 | NS 2.834591 | T 3.427037 | LR 8.10e-04
Epoch 9/15 | Step 45/100 | Global 45 | Total 0.125387 | Data 0.117415 | NS 3.323830 | T 4.648451 | LR 8.10e-04
Epoch 9/15 | Step 46/100 | Global 46 | Total 0.145228 | Data 0.137907 | NS 3.267446 | T 4.053677 | LR 8.09e-04
Epoch 9/15 | Step 47/100 | Global 47 | Total 0.278958 | Data 0.272150 | NS 3.430799 | T 3.377450 | LR 8.09e-04
